open,close,volume,date
9889.17970534,9934.43339025,43374780305.44,2020-02-16
9936.56026014,9690.14261814,45998298412.6,2020-02-17
9691.23094489,10141.9963705,47271023953.43,2020-02-18
10143.7983568,9633.38688518,46992019709.92,2020-02-19
9629.32531033,9608.47590343,44925260236.83,2020-02-20
9611.78201954,9686.44119763,40930547512.66,2020-02-21
9687.70676008,9663.18182933,35838025154.26,2020-02-22
9663.31864201,9924.51522822,41185185761.49,2020-02-23
9921.58346055,9650.17480677,45080496648.35,2020-02-24
9651.31279866,9341.70516876,42515259129.21,2020-02-25
9338.29028024,8820.52220005,50420050761.92,2020-02-26
8825.09351775,8784.49384867,45470195695.09,2020-02-27
8788.72854689,8672.45534996,44605450442.74,2020-02-28
8671.21254207,8599.50861972,35792392544.01,2020-02-29
8599.7583441,8562.45405008,35349164300.14,2020-03-01
8563.26425933,8869.67031078,42857674408.88,2020-03-02
8865.38796487,8787.78645576,42386715820.56,2020-03-03
8788.54218625,8755.24589461,34746706368.15,2020-03-04
8760.28504049,9078.76279174,39698054597.43,2020-03-05
9078.30852906,9122.54557333,40826885650.94,2020-03-06
9121.60053553,8909.9536515,36216930369.67,2020-03-07
8908.20601509,8108.11629101,39973102120.57,2020-03-08
8111.14639164,7923.6447033,46936995808.18,2020-03-09
7922.1470416,7909.72939346,42213940993.61,2020-03-10
7910.08980669,7911.43012933,38682762604.64,2020-03-11
7913.61638784,4970.78790105,53980357243.05,2020-03-12
5017.83083939,5563.70689169,74156772074.96,2020-03-13
5573.07764952,5200.36626392,36154506007.58,2020-03-14
5201.06668673,5392.31488002,33997889638.76,2020-03-15
5385.22952159,5014.47997748,45368026429.62,2020-03-16
5002.5781383,5225.62919259,38622642935.25,2020-03-17
5227.1136885,5238.43857664,37878801016.34,2020-03-18
5245.4166032,6191.19295222,51000731797.43,2020-03-19
6191.65372133,6198.77820508,54442976102.51,2020-03-20
6206.52165025,6185.06651501,42494390879.61,2020-03-21
6185.55790292,5830.25479765,40099664740.06,2020-03-22
5831.37473534,6416.31475839,46491915999.72,2020-03-23
6436.64245088,6734.80378045,48221910672.25,2020-03-24
6738.71663989,6681.06312656,44590107887.94,2020-03-25
6675.17065538,6716.44054866,35319797641.53,2020-03-26
6719.38897407,6469.79813509,34585598366.55,2020-03-27
6467.25404592,6242.1938684,34885225901.01,2020-03-28
6245.62462695,5922.0431227,28373690930.54,2020-03-29
5925.53848884,6429.84193389,37101651525.3,2020-03-30
6430.60652809,6438.64476637,32786468812.08,2020-03-31
6437.31921486,6606.77626829,40346426265.73,2020-04-01
6606.77626829,6793.62459642,47660646124.41,2020-04-02
6797.39659183,6733.3873906,38976504902.97,2020-04-03
6738.38301967,6867.52731596,33185988583.8,2020-04-04
6862.53782636,6791.12944093,29510409856.11,2020-04-05
6788.04980287,7271.7811527,46896904614.93,2020-04-06
7273.64421075,7176.41450049,44243482667.85,2020-04-07
7179.28341821,7334.09845346,37563249548.94,2020-04-08
7337.9661825,7302.0895105,34815139177.59,2020-04-09
7303.81519824,6865.49337195,43622840991.71,2020-04-10
6867.4404519,6859.08296343,31222085946.27,2020-04-11
6858.06802459,6971.09159108,35759567632.29,2020-04-12
6965.61663772,6845.03769683,38619308647.44,2020-04-13
6843.28177662,6842.42786097,34110434051.86,2020-04-14
6845.56171696,6642.10989286,32288311030.76,2020-04-15
6640.45388894,7116.80421777,46783242376.7,2020-04-16
7116.55260865,7096.18465879,32513423567.43,2020-04-17
7092.29152293,7257.66485847,32447188385.93,2020-04-18
7260.92257873,7189.42482356,31311210215.32,2020-04-19
7186.8737411,6881.95869275,37747113935.85,2020-04-20
6879.78434985,6880.32347375,32589741510.73,2020-04-21
6879.44029975,7117.20747869,33249153865.76,2020-04-22
7121.30605911,7429.72464927,43500782316.07,2020-04-23
7434.18155636,7550.90102725,34636526285.8,2020-04-24
7550.48301195,7569.93603405,32941541446.93,2020-04-25
7570.13893823,7679.86720422,33070154490.75,2020-04-26
7679.41895085,7795.60083451,36162144724.71,2020-04-27
7796.97044056,7807.05845106,33187959920.92,2020-04-28
7806.71256355,8801.03776688,60201052202.54,2020-04-29
